GeneID,Symbol,Entry,Entry Name,Gene Name
84062,DTNBP1,Q96EV8,DTBP1_HUMAN,My031
93343,MVB12A,Q96EY5,MB12A_HUMAN,MVB12A
93343,MVB12A,Q96EY5,MB12A_HUMAN,CFBP
93343,MVB12A,Q96EY5,MB12A_HUMAN,FAM125A
55340,GIMAP5,Q96F15,GIMA5_HUMAN,GIMAP5
55340,GIMAP5,Q96F15,GIMA5_HUMAN,IAN4L1
55340,GIMAP5,Q96F15,GIMA5_HUMAN,IAN5
55340,GIMAP5,Q96F15,GIMA5_HUMAN,IMAP3
729991,BORCS8,Q96FH0,BORC8_HUMAN,BORCS8
729991,BORCS8,Q96FH0,BORC8_HUMAN,MEF2BNB
79643,CHMP6,Q96FZ7,CHMP6_HUMAN,CHMP6
79643,CHMP6,Q96FZ7,CHMP6_HUMAN,VPS20
54785,BORCS6,Q96GS4,BORC6_HUMAN,BORCS6
54785,BORCS6,Q96GS4,BORC6_HUMAN,C17orf59
11267,SNF8,Q96H20,SNF8_HUMAN,SNF8
11267,SNF8,Q96H20,SNF8_HUMAN,EAP30
23339,VPS39,Q96JC1,VPS39_HUMAN,VPS39
23339,VPS39,Q96JC1,VPS39_HUMAN,KIAA0770
23339,VPS39,Q96JC1,VPS39_HUMAN,TLP
23339,VPS39,Q96JC1,VPS39_HUMAN,VAM6
4135,MAP6,Q96JE9,MAP6_HUMAN,MAP6
4135,MAP6,Q96JE9,MAP6_HUMAN,KIAA1878
80208,SPG11,Q96JI7,SPTCS_HUMAN,SPG11
80208,SPG11,Q96JI7,SPTCS_HUMAN,KIAA1840
81609,SNX27,Q96L92,SNX27_HUMAN,SNX27
81609,SNX27,Q96L92,SNX27_HUMAN,KIAA0488
81609,SNX27,Q96L92,SNX27_HUMAN,My014
203228,C9orf72,Q96LT7,CI072_HUMAN,C9orf72
203228,C9orf72,Q96LT7,CI072_HUMAN,DENND9
203228,C9orf72,Q96LT7,CI072_HUMAN,DENNL72
144577,KICS2,Q96MD2,KICS2_HUMAN,KICS2
144577,KICS2,Q96MD2,KICS2_HUMAN,C12orf66
56834,GPR137,Q96N19,G137A_HUMAN,GPR137
56834,GPR137,Q96N19,G137A_HUMAN,C11orf4
56834,GPR137,Q96N19,G137A_HUMAN,GPR137A
56834,GPR137,Q96N19,G137A_HUMAN,TM7SF1L1
83547,RILP,Q96NA2,RILP_HUMAN,RILP
83547,RILP,Q96NA2,RILP_HUMAN,PP10141
84317,CCDC115,Q96NT0,CC115_HUMAN,CCDC115
84079,ANKRD27,Q96NW4,ANR27_HUMAN,ANKRD27
84079,ANKRD27,Q96NW4,ANR27_HUMAN,PP12899
130340,AP1S3,Q96PC3,AP1S3_HUMAN,AP1S3
23049,SMG1,Q96Q15,SMG1_HUMAN,SMG1
23049,SMG1,Q96Q15,SMG1_HUMAN,ATX
23049,SMG1,Q96Q15,SMG1_HUMAN,KIAA0421
23049,SMG1,Q96Q15,SMG1_HUMAN,LIP
55737,VPS35,Q96QK1,VPS35_HUMAN,VPS35
55737,VPS35,Q96QK1,VPS35_HUMAN,MEM3
55737,VPS35,Q96QK1,VPS35_HUMAN,TCCCTA00141
